flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG180,TRIP028,DRV189,2024-02-06 06:00:04,4,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG172,TRIP027,DRV136,2024-02-06 06:00:06,6,moderate_event,low,0.05,0.44,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG059,TRIP010,DRV145,2024-02-06 06:00:59,59,moderate_event,low,0.45,0.05,0.29,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG060,TRIP010,DRV145,2024-02-06 06:01:26,86,moderate_event,medium,0.45,0.4,0.43,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG102,TRIP015,DRV111,2024-02-06 06:01:26,86,moderate_event,low,0.24,0.47,0.33,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG024,TRIP003,DRV003,2024-02-06 06:01:33,93,sustained_stress,low,0.05,0.68,0.3,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG001,TRIP001,DRV107,2024-02-06 06:01:40,100,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG089,TRIP013,DRV096,2024-02-06 06:01:44,104,sustained_stress,low,0.05,0.56,0.25,Sustained elevated cabin audio detected.,Motion: normal | Audio: loud
FLAG154,TRIP024,DRV189,2024-02-06 06:01:45,105,moderate_event,low,0.05,0.4,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG155,TRIP024,DRV189,2024-02-06 06:02:02,122,moderate_event,low,0.31,0.4,0.35,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG008,TRIP002,DRV188,2024-02-06 06:02:43,163,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG181,TRIP028,DRV189,2024-02-06 06:02:44,164,moderate_event,low,0.37,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG090,TRIP013,DRV096,2024-02-06 06:02:44,164,audio_spike,low,0.05,0.87,0.38,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG009,TRIP002,DRV188,2024-02-06 06:02:47,167,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG165,TRIP026,DRV024,2024-02-06 06:02:49,169,moderate_event,low,0.05,0.54,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG061,TRIP010,DRV145,2024-02-06 06:03:21,201,moderate_event,low,0.38,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG148,TRIP023,DRV091,2024-02-06 06:03:30,210,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG149,TRIP023,DRV091,2024-02-06 06:04:00,240,moderate_event,low,0.05,0.38,0.18,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG062,TRIP010,DRV145,2024-02-06 06:04:09,249,sustained_stress,low,0.05,0.76,0.33,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG124,TRIP019,DRV045,2024-02-06 06:04:19,259,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG029,TRIP004,DRV210,2024-02-06 06:04:31,271,moderate_event,low,0.48,0.05,0.31,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG010,TRIP002,DRV188,2024-02-06 06:04:40,280,moderate_event,low,0.05,0.46,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG054,TRIP009,DRV070,2024-02-06 06:04:41,281,moderate_event,low,0.05,0.43,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG125,TRIP019,DRV045,2024-02-06 06:04:43,283,moderate_event,low,0.36,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG096,TRIP014,DRV032,2024-02-06 06:04:43,283,moderate_event,low,0.37,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG128,TRIP020,DRV157,2024-02-06 06:04:49,289,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG002,TRIP001,DRV107,2024-02-06 06:04:52,292,sustained_stress,low,0.05,0.79,0.35,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG161,TRIP025,DRV188,2024-02-06 06:04:55,295,moderate_event,low,0.05,0.43,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG182,TRIP028,DRV189,2024-02-06 06:05:22,322,audio_spike,low,0.05,0.9,0.39,Very loud cabin audio spike detected.,Motion: normal | Audio: argument
FLAG118,TRIP018,DRV161,2024-02-06 06:05:23,323,sustained_stress,low,0.05,0.63,0.28,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG103,TRIP015,DRV111,2024-02-06 06:05:53,353,moderate_event,low,0.05,0.53,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG131,TRIP021,DRV142,2024-02-06 06:05:56,356,moderate_event,low,0.05,0.42,0.2,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG150,TRIP023,DRV091,2024-02-06 06:06:21,381,moderate_event,low,0.05,0.52,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG055,TRIP009,DRV070,2024-02-06 06:06:26,386,moderate_event,low,0.05,0.4,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG056,TRIP009,DRV070,2024-02-06 06:06:34,394,moderate_event,low,0.05,0.4,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG057,TRIP009,DRV070,2024-02-06 06:06:42,402,sustained_stress,low,0.05,0.67,0.3,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG104,TRIP015,DRV111,2024-02-06 06:06:57,417,moderate_event,low,0.05,0.36,0.17,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG132,TRIP021,DRV142,2024-02-06 06:07:11,431,moderate_event,low,0.05,0.38,0.18,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG173,TRIP027,DRV136,2024-02-06 06:07:27,447,moderate_event,low,0.05,0.45,0.21,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG111,TRIP017,DRV144,2024-02-06 06:07:34,454,moderate_event,low,0.44,0.05,0.28,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG063,TRIP010,DRV145,2024-02-06 06:07:40,460,moderate_event,low,0.5,0.05,0.32,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG119,TRIP018,DRV161,2024-02-06 06:07:43,463,moderate_event,low,0.42,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG011,TRIP002,DRV188,2024-02-06 06:08:00,480,moderate_event,low,0.39,0.05,0.25,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG151,TRIP023,DRV091,2024-02-06 06:08:03,483,moderate_event,low,0.05,0.4,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG097,TRIP014,DRV032,2024-02-06 06:08:04,484,moderate_event,low,0.47,0.05,0.3,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG049,TRIP008,DRV050,2024-02-06 06:08:16,496,moderate_event,low,0.26,0.53,0.37,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG050,TRIP008,DRV050,2024-02-06 06:08:24,504,moderate_event,low,0.26,0.53,0.37,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG047,TRIP007,DRV095,2024-02-06 06:08:24,504,moderate_event,low,0.05,0.41,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG166,TRIP026,DRV024,2024-02-06 06:08:30,510,moderate_event,low,0.4,0.05,0.26,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG003,TRIP001,DRV107,2024-02-06 06:08:55,535,moderate_event,low,0.05,0.39,0.19,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG185,TRIP029,DRV106,2024-02-06 06:09:01,541,moderate_event,low,0.05,0.47,0.22,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG162,TRIP025,DRV188,2024-02-06 06:09:07,547,moderate_event,low,0.37,0.05,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG112,TRIP017,DRV144,2024-02-06 06:09:52,592,moderate_event,low,0.05,0.53,0.24,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG167,TRIP026,DRV024,2024-02-06 06:10:04,604,sustained_stress,low,0.05,0.67,0.3,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
FLAG051,TRIP008,DRV050,2024-02-06 06:10:09,609,moderate_event,low,0.05,0.48,0.22,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG004,TRIP001,DRV107,2024-02-06 06:10:11,611,moderate_event,low,0.05,0.51,0.23,Moderate driving stress pattern detected.,Motion: normal | Audio: loud
FLAG174,TRIP027,DRV136,2024-02-06 06:10:17,617,moderate_event,low,0.41,0.05,0.27,Moderate driving stress pattern detected.,Motion: normal | Audio: normal
FLAG081,TRIP011,DRV112,2024-02-06 06:10:18,618,sustained_stress,low,0.05,0.77,0.34,Sustained elevated cabin audio detected.,Motion: normal | Audio: very_loud
