trip_id,driver_id,timestamp,motion_score,audio_score
TRIP025,DRV188,2024-02-06 06:00:02,0.326,0.0
TRIP028,DRV189,2024-02-06 06:00:04,0.437,0.0
TRIP027,DRV136,2024-02-06 06:00:06,0.0,0.324
TRIP002,DRV188,2024-02-06 06:00:15,0.289,0.0
TRIP027,DRV136,2024-02-06 06:00:39,0.33,0.0
TRIP024,DRV189,2024-02-06 06:00:44,0.0,0.211
TRIP016,DRV067,2024-02-06 06:00:47,0.0,0.225
TRIP015,DRV111,2024-02-06 06:00:58,0.236,0.0
TRIP010,DRV145,2024-02-06 06:00:59,0.454,0.0
TRIP029,DRV106,2024-02-06 06:01:01,0.091,0.0
TRIP028,DRV189,2024-02-06 06:01:03,0.149,0.0
TRIP016,DRV067,2024-02-06 06:01:07,0.308,0.0
TRIP030,DRV150,2024-02-06 06:01:14,0.0,0.311
TRIP023,DRV091,2024-02-06 06:01:18,0.275,0.0
TRIP015,DRV111,2024-02-06 06:01:26,0.0,0.391
TRIP010,DRV145,2024-02-06 06:01:26,0.0,0.545
TRIP003,DRV003,2024-02-06 06:01:33,0.0,0.697
TRIP001,DRV107,2024-02-06 06:01:40,0.441,0.0
TRIP013,DRV096,2024-02-06 06:01:44,0.0,0.614
TRIP024,DRV189,2024-02-06 06:01:45,0.0,0.414
TRIP026,DRV024,2024-02-06 06:01:53,0.0,0.17
TRIP008,DRV050,2024-02-06 06:01:54,0.118,0.0
TRIP024,DRV189,2024-02-06 06:02:02,0.309,0.0
TRIP007,DRV095,2024-02-06 06:02:06,0.304,0.0
TRIP007,DRV095,2024-02-06 06:02:17,0.0,0.343
TRIP030,DRV150,2024-02-06 06:02:21,0.0,0.154
TRIP008,DRV050,2024-02-06 06:02:25,0.244,0.0
TRIP017,DRV144,2024-02-06 06:02:27,0.284,0.0
TRIP019,DRV045,2024-02-06 06:02:29,0.0,0.225
TRIP014,DRV032,2024-02-06 06:02:34,0.315,0.0
TRIP004,DRV210,2024-02-06 06:02:41,0.198,0.0
TRIP025,DRV188,2024-02-06 06:02:42,0.077,0.0
TRIP002,DRV188,2024-02-06 06:02:43,0.444,0.0
TRIP028,DRV189,2024-02-06 06:02:44,0.373,0.0
TRIP013,DRV096,2024-02-06 06:02:44,0.0,0.915
TRIP004,DRV210,2024-02-06 06:02:45,0.154,0.0
TRIP002,DRV188,2024-02-06 06:02:47,0.174,0.0
TRIP026,DRV024,2024-02-06 06:02:49,0.0,0.491
TRIP016,DRV067,2024-02-06 06:03:06,0.0,0.371
TRIP007,DRV095,2024-02-06 06:03:07,0.341,0.0
TRIP003,DRV003,2024-02-06 06:03:07,0.336,0.0
TRIP005,DRV206,2024-02-06 06:03:18,0.0,0.211
TRIP005,DRV206,2024-02-06 06:03:18,0.0,0.125
TRIP010,DRV145,2024-02-06 06:03:21,0.385,0.0
TRIP023,DRV091,2024-02-06 06:03:30,0.409,0.0
TRIP028,DRV189,2024-02-06 06:03:40,0.0,0.153
TRIP006,DRV077,2024-02-06 06:03:54,0.348,0.0
TRIP023,DRV091,2024-02-06 06:04:00,0.0,0.339
TRIP010,DRV145,2024-02-06 06:04:09,0.0,0.855
TRIP007,DRV095,2024-02-06 06:04:11,0.0,0.025
TRIP009,DRV070,2024-02-06 06:04:14,0.0,0.294
TRIP018,DRV161,2024-02-06 06:04:15,0.25,0.0
TRIP002,DRV188,2024-02-06 06:04:18,0.0,0.05
TRIP019,DRV045,2024-02-06 06:04:19,0.364,0.0
TRIP004,DRV210,2024-02-06 06:04:31,0.476,0.0
TRIP029,DRV106,2024-02-06 06:04:34,0.0,0.371
TRIP002,DRV188,2024-02-06 06:04:40,0.0,0.382
TRIP009,DRV070,2024-02-06 06:04:41,0.0,0.525
TRIP023,DRV091,2024-02-06 06:04:42,0.0,0.204
TRIP019,DRV045,2024-02-06 06:04:43,0.233,0.0
TRIP014,DRV032,2024-02-06 06:04:43,0.373,0.0
TRIP006,DRV077,2024-02-06 06:04:47,0.0,0.254
TRIP020,DRV157,2024-02-06 06:04:49,0.412,0.0
TRIP001,DRV107,2024-02-06 06:04:52,0.0,0.872
TRIP025,DRV188,2024-02-06 06:04:55,0.0,0.525
TRIP027,DRV136,2024-02-06 06:04:59,0.128,0.0
TRIP017,DRV144,2024-02-06 06:05:13,0.0,0.084
TRIP010,DRV145,2024-02-06 06:05:16,0.295,0.0
TRIP026,DRV024,2024-02-06 06:05:18,0.249,0.0
TRIP007,DRV095,2024-02-06 06:05:21,0.194,0.0
TRIP028,DRV189,2024-02-06 06:05:22,0.0,0.932
TRIP026,DRV024,2024-02-06 06:05:23,0.275,0.0
TRIP018,DRV161,2024-02-06 06:05:23,0.0,0.769
TRIP017,DRV144,2024-02-06 06:05:48,0.205,0.0
TRIP015,DRV111,2024-02-06 06:05:53,0.0,0.482
TRIP021,DRV142,2024-02-06 06:05:56,0.0,0.52
TRIP030,DRV150,2024-02-06 06:05:58,0.0,0.144
TRIP023,DRV091,2024-02-06 06:06:21,0.0,0.666
TRIP009,DRV070,2024-02-06 06:06:26,0.0,0.291
TRIP009,DRV070,2024-02-06 06:06:34,0.0,0.125
TRIP009,DRV070,2024-02-06 06:06:42,0.0,0.695
TRIP025,DRV188,2024-02-06 06:06:47,0.077,0.0
TRIP004,DRV210,2024-02-06 06:06:51,0.0,0.05
TRIP015,DRV111,2024-02-06 06:06:57,0.0,0.456
TRIP019,DRV045,2024-02-06 06:06:58,0.303,0.0
TRIP021,DRV142,2024-02-06 06:07:11,0.0,0.405
TRIP012,DRV042,2024-02-06 06:07:18,0.277,0.0
TRIP027,DRV136,2024-02-06 06:07:27,0.0,0.333
TRIP007,DRV095,2024-02-06 06:07:31,0.218,0.0
TRIP017,DRV144,2024-02-06 06:07:34,0.44,0.0
TRIP024,DRV189,2024-02-06 06:07:36,0.0,0.025
TRIP010,DRV145,2024-02-06 06:07:40,0.5,0.0
TRIP018,DRV161,2024-02-06 06:07:42,0.348,0.0
TRIP018,DRV161,2024-02-06 06:07:43,0.42,0.0
TRIP008,DRV050,2024-02-06 06:07:51,0.258,0.0
TRIP015,DRV111,2024-02-06 06:07:54,0.155,0.0
TRIP015,DRV111,2024-02-06 06:07:59,0.0,0.213
TRIP002,DRV188,2024-02-06 06:08:00,0.39,0.0
TRIP013,DRV096,2024-02-06 06:08:02,0.0,0.236
TRIP023,DRV091,2024-02-06 06:08:03,0.0,0.542
TRIP014,DRV032,2024-02-06 06:08:04,0.469,0.0
TRIP015,DRV111,2024-02-06 06:08:09,0.267,0.0
TRIP025,DRV188,2024-02-06 06:08:09,0.27,0.0
