log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status,computed_velocity,target_earnings,target_hours,computed_target_velocity,remaining_hours,future_earnings,predicted_final,forecast
VEL032,DRV001,2024-02-06,2024-02-06 08:49:12,1461,2.82,518.09,172.0,346.09,5,ahead,518.0851063829788,1331.0,8.2,162.31707317073173,5.379999999999999,2787.2978723404253,4248.297872340425,ahead
VEL068,DRV004,2024-02-06,2024-02-06 06:32:24,887,0.54,1642.59,193.0,1449.59,13,ahead,1642.5925925925924,5000.0,7.5,666.6666666666666,6.96,11432.444444444443,12319.444444444443,ahead
VEL183,DRV004,2024-02-06,2024-02-06 07:00:36,1936,1.01,1916.83,191.0,1725.83,9,ahead,1916.8316831683169,5000.0,7.5,666.6666666666666,6.49,12440.237623762378,14376.237623762378,ahead
VEL101,DRV004,2024-02-06,2024-02-06 07:51:36,1745,1.86,938.17,199.0,739.17,9,ahead,938.1720430107526,5000.0,7.5,666.6666666666666,5.64,5291.290322580645,7036.290322580645,ahead
VEL126,DRV005,2024-02-06,2024-02-06 10:07:12,1375,4.12,333.74,181.0,152.74,4,ahead,333.7378640776699,1300.0,7.0,185.71428571428572,2.88,961.1650485436892,2336.1650485436894,ahead
VEL115,DRV007,2024-02-06,2024-02-06 13:29:24,2233,7.49,298.13,173.0,125.13,8,ahead,298.13084112149534,1200.0,7.0,171.42857142857142,0.0,0.0,2233.0,ahead
VEL028,DRV008,2024-02-06,2024-02-06 07:18:00,1059,1.3,814.62,165.0,649.62,9,ahead,814.6153846153846,1700.0,10.0,170.0,8.7,7087.153846153846,8146.153846153846,ahead
VEL214,DRV008,2024-02-06,2024-02-06 11:21:36,888,5.36,165.67,166.0,-0.33,5,on_track,165.67164179104478,1700.0,10.0,170.0,4.64,768.7164179104477,1656.7164179104477,on_track
VEL118,DRV008,2024-02-06,2024-02-06 11:51:36,179,5.86,30.55,199.0,-168.45,12,at_risk,30.54607508532423,1700.0,10.0,170.0,4.14,126.4607508532423,305.4607508532423,at_risk
VEL037,DRV008,2024-02-06,2024-02-06 12:55:48,883,6.93,127.42,190.0,-62.58,5,at_risk,127.41702741702743,1700.0,10.0,170.0,3.0700000000000003,391.17027417027424,1274.1702741702743,at_risk
VEL148,DRV009,2024-02-06,2024-02-06 07:27:00,236,1.45,162.76,187.0,-24.24,9,at_risk,162.75862068965517,1100.0,6.0,183.33333333333334,4.55,740.551724137931,976.551724137931,at_risk
VEL072,DRV009,2024-02-06,2024-02-06 10:18:00,660,4.3,153.49,188.0,-34.51,9,at_risk,153.48837209302326,1100.0,6.0,183.33333333333334,1.7000000000000002,260.93023255813955,920.9302325581396,at_risk
VEL010,DRV010,2024-02-06,19:35:00,925,3.58,258.38,200.0,58.38,3,ahead,258.37988826815644,1602.0,8.0,200.25,4.42,1142.0391061452515,2067.0391061452515,ahead
VEL091,DRV010,2024-02-06,2024-02-06 07:25:48,1256,1.43,878.32,172.0,706.32,11,ahead,878.3216783216784,1602.0,8.0,200.25,6.57,5770.573426573427,7026.573426573427,ahead
VEL077,DRV011,2024-02-06,2024-02-06 11:03:00,1592,5.05,315.25,197.0,118.25,4,ahead,315.2475247524753,1540.0,9.5,162.10526315789474,4.45,1402.851485148515,2994.851485148515,ahead
VEL056,DRV011,2024-02-06,2024-02-06 12:59:24,2049,6.99,293.13,189.0,104.13,5,ahead,293.13304721030045,1540.0,9.5,162.10526315789474,2.51,735.763948497854,2784.763948497854,ahead
VEL130,DRV012,2024-02-06,2024-02-06 06:55:48,2149,0.93,2310.75,165.0,2145.75,10,ahead,2310.752688172043,1719.0,7.9,217.59493670886076,6.970000000000001,16105.946236559139,18254.94623655914,ahead
VEL025,DRV013,2024-02-06,2024-02-06 08:49:48,156,2.83,55.12,202.0,-146.88,9,at_risk,55.12367491166078,1297.0,6.9,187.97101449275362,4.07,224.3533568904594,380.3533568904594,at_risk
VEL149,DRV014,2024-02-06,2024-02-06 12:15:36,205,6.26,32.75,180.0,-147.25,1,at_risk,32.74760383386582,1309.0,6.3,207.77777777777777,0.040000000000000036,1.3099041533546338,206.30990415335464,at_risk
VEL140,DRV015,2024-02-06,2024-02-06 07:42:36,1949,1.71,1139.77,187.0,952.77,12,ahead,1139.766081871345,1352.0,7.7,175.58441558441558,5.99,6827.198830409357,8776.198830409357,ahead
VEL157,DRV016,2024-02-06,2024-02-06 11:04:48,2207,5.08,434.45,177.0,257.45,14,ahead,434.4488188976378,1685.0,8.4,200.59523809523807,3.3200000000000003,1442.3700787401576,3649.3700787401576,ahead
VEL005,DRV018,2024-02-06,09:42:00,996,3.7,269.19,175.0,94.19,5,ahead,269.18918918918916,1671.0,7.5,222.8,3.8,1022.9189189189187,2018.9189189189187,ahead
VEL189,DRV018,2024-02-06,2024-02-06 12:07:48,1943,6.13,316.97,189.0,127.97,9,ahead,316.9657422512235,1671.0,7.5,222.8,1.37,434.24306688417624,2377.243066884176,ahead
VEL186,DRV019,2024-02-06,2024-02-06 13:40:12,336,7.67,43.81,168.0,-124.19,13,at_risk,43.80704041720991,1392.0,7.8,178.46153846153845,0.1299999999999999,5.694915254237284,341.6949152542373,at_risk
VEL051,DRV020,2024-02-06,2024-02-06 11:22:48,2261,5.38,420.26,202.0,218.26,7,ahead,420.26022304832713,1574.0,9.3,169.24731182795696,3.920000000000001,1647.4200743494428,3908.420074349443,ahead
VEL060,DRV021,2024-02-06,2024-02-06 11:42:00,1271,5.7,222.98,171.0,51.98,13,ahead,222.98245614035088,1659.0,6.5,255.23076923076923,0.7999999999999998,178.38596491228066,1449.3859649122805,at_risk
VEL036,DRV022,2024-02-06,2024-02-06 11:45:00,1071,5.75,186.26,168.0,18.26,15,ahead,186.2608695652174,1565.0,6.4,244.53125,0.6500000000000004,121.06956521739139,1192.0695652173913,at_risk
VEL092,DRV024,2024-02-06,2024-02-06 09:33:00,2396,3.55,674.93,186.0,488.93,11,ahead,674.9295774647887,1487.0,8.2,181.34146341463415,4.6499999999999995,3138.422535211267,5534.422535211267,ahead
VEL093,DRV025,2024-02-06,2024-02-06 09:13:12,514,3.22,159.63,186.0,-26.37,13,at_risk,159.62732919254657,1283.0,9.1,140.989010989011,5.879999999999999,938.6086956521737,1452.6086956521735,ahead
VEL145,DRV025,2024-02-06,2024-02-06 10:10:12,1874,4.17,449.4,196.0,253.4,13,ahead,449.40047961630694,1283.0,9.1,140.989010989011,4.93,2215.5443645083933,4089.5443645083933,ahead
VEL193,DRV025,2024-02-06,2024-02-06 11:48:36,2213,5.81,380.9,198.0,182.9,5,ahead,380.895008605852,1283.0,9.1,140.989010989011,3.29,1253.144578313253,3466.144578313253,ahead
VEL153,DRV025,2024-02-06,2024-02-06 11:58:12,774,5.97,129.65,176.0,-46.35,4,at_risk,129.64824120603015,1283.0,9.1,140.989010989011,3.13,405.79899497487435,1179.7989949748744,on_track
VEL079,DRV026,2024-02-06,2024-02-06 07:54:36,300,1.91,157.07,184.0,-26.93,14,at_risk,157.06806282722513,1220.0,9.6,127.08333333333334,7.6899999999999995,1207.8534031413612,1507.8534031413612,ahead
VEL002,DRV028,2024-02-06,07:38:00,365,1.47,248.3,175.0,73.3,2,ahead,248.29931972789117,1564.0,7.6,205.78947368421055,6.13,1522.0748299319728,1887.0748299319728,ahead
VEL212,DRV028,2024-02-06,2024-02-06 07:51:36,2181,1.86,1172.58,176.0,996.58,14,ahead,1172.5806451612902,1564.0,7.6,205.78947368421055,5.739999999999999,6730.612903225805,8911.612903225805,ahead
VEL142,DRV029,2024-02-06,2024-02-06 08:38:24,926,2.64,350.76,173.0,177.76,7,ahead,350.75757575757575,1743.0,8.2,212.56097560975613,5.559999999999999,1950.2121212121208,2876.212121212121,ahead
VEL038,DRV029,2024-02-06,2024-02-06 13:55:48,802,7.93,101.13,200.0,-98.87,7,at_risk,101.13493064312736,1743.0,8.2,212.56097560975613,0.2699999999999996,27.306431273644346,829.3064312736443,at_risk
VEL070,DRV030,2024-02-06,2024-02-06 11:23:24,994,5.39,184.42,170.0,14.42,9,ahead,184.41558441558442,1133.0,8.7,130.22988505747128,3.3099999999999996,610.4155844155844,1604.4155844155844,ahead
VEL144,DRV031,2024-02-06,2024-02-06 13:36:36,965,7.61,126.81,182.0,-55.19,2,at_risk,126.80683311432325,1282.0,6.6,194.24242424242425,0.0,0.0,965.0,at_risk
VEL192,DRV032,2024-02-06,2024-02-06 13:05:24,186,7.09,26.23,197.0,-170.77,8,at_risk,26.23413258110014,1281.0,9.9,129.39393939393938,2.8100000000000005,73.7179125528914,259.7179125528914,at_risk
VEL136,DRV033,2024-02-06,2024-02-06 12:16:12,787,6.27,125.52,181.0,-55.48,4,at_risk,125.518341307815,1169.0,9.0,129.88888888888889,2.7300000000000004,342.66507177033503,1129.665071770335,on_track
VEL031,DRV035,2024-02-06,2024-02-06 07:35:24,1310,1.59,823.9,167.0,656.9,10,ahead,823.8993710691824,1744.0,8.1,215.30864197530866,6.51,5363.584905660377,6673.584905660377,ahead
VEL061,DRV037,2024-02-06,2024-02-06 09:22:48,891,3.38,263.61,192.0,71.61,5,ahead,263.6094674556213,1632.0,8.9,183.3707865168539,5.5200000000000005,1455.1242603550297,2346.12426035503,ahead
VEL069,DRV039,2024-02-06,2024-02-06 07:25:12,1437,1.42,1011.97,173.0,838.97,10,ahead,1011.9718309859155,1524.0,7.7,197.9220779220779,6.28,6355.183098591549,7792.183098591549,ahead
VEL104,DRV039,2024-02-06,2024-02-06 07:34:12,667,1.57,424.84,201.0,223.84,12,ahead,424.84076433121015,1524.0,7.7,197.9220779220779,6.13,2604.2738853503183,3271.2738853503183,ahead
VEL081,DRV039,2024-02-06,2024-02-06 10:56:24,1034,4.94,209.31,182.0,27.31,3,ahead,209.31174089068824,1524.0,7.7,197.9220779220779,2.76,577.7004048582995,1611.7004048582994,on_track
VEL006,DRV040,2024-02-06,10:28:00,1178,4.47,263.53,175.0,88.53,6,ahead,263.53467561521256,1388.0,7.0,198.28571428571428,2.5300000000000002,666.7427293064878,1844.742729306488,ahead
VEL178,DRV041,2024-02-06,2024-02-06 08:45:36,1554,2.76,563.04,195.0,368.04,13,ahead,563.0434782608696,1216.0,8.7,139.77011494252875,5.9399999999999995,3344.4782608695655,4898.478260869566,ahead
VEL088,DRV041,2024-02-06,2024-02-06 11:02:24,2244,5.04,445.24,191.0,254.24,14,ahead,445.23809523809524,1216.0,8.7,139.77011494252875,3.6599999999999993,1629.5714285714282,3873.5714285714284,ahead
VEL164,DRV042,2024-02-06,2024-02-06 09:42:00,2238,3.7,604.86,168.0,436.86,5,ahead,604.8648648648648,1298.0,7.3,177.8082191780822,3.5999999999999996,2177.513513513513,4415.513513513513,ahead
VEL059,DRV042,2024-02-06,2024-02-06 10:54:00,244,4.9,49.8,201.0,-151.2,8,at_risk,49.795918367346935,1298.0,7.3,177.8082191780822,2.3999999999999995,119.51020408163262,363.51020408163265,at_risk
VEL111,DRV042,2024-02-06,2024-02-06 12:50:24,1430,6.84,209.06,205.0,4.06,2,ahead,209.06432748538012,1298.0,7.3,177.8082191780822,0.45999999999999996,96.16959064327484,1526.169590643275,ahead
VEL147,DRV045,2024-02-06,2024-02-06 07:29:24,1742,1.49,1169.13,171.0,998.13,13,ahead,1169.1275167785234,1313.0,8.3,158.19277108433732,6.8100000000000005,7961.758389261745,9703.758389261744,ahead
VEL171,DRV047,2024-02-06,2024-02-06 11:37:12,205,5.62,36.48,173.0,-136.52,6,at_risk,36.47686832740214,1219.0,9.5,128.31578947368422,3.88,141.53024911032028,346.53024911032026,at_risk
VEL043,DRV047,2024-02-06,2024-02-06 12:52:12,371,6.87,54.0,184.0,-130.0,8,at_risk,54.00291120815138,1219.0,9.5,128.31578947368422,2.63,142.02765647743811,513.0276564774381,at_risk
VEL058,DRV049,2024-02-06,2024-02-06 07:25:12,488,1.42,343.66,197.0,146.66,4,ahead,343.6619718309859,1214.0,7.5,161.86666666666667,6.08,2089.4647887323945,2577.4647887323945,ahead
VEL040,DRV049,2024-02-06,2024-02-06 09:25:48,1753,3.43,511.08,198.0,313.08,12,ahead,511.07871720116617,1214.0,7.5,161.86666666666667,4.07,2080.0903790087464,3833.0903790087464,ahead
VEL185,DRV050,2024-02-06,2024-02-06 11:43:48,1272,5.73,221.99,173.0,48.99,5,ahead,221.9895287958115,1612.0,6.6,244.24242424242425,0.8699999999999992,193.13089005235585,1465.1308900523559,on_track
VEL067,DRV052,2024-02-06,2024-02-06 07:51:00,630,1.85,340.54,203.0,137.54,12,ahead,340.5405405405405,1570.0,7.6,206.57894736842107,5.75,1958.108108108108,2588.108108108108,ahead
VEL083,DRV053,2024-02-06,2024-02-06 11:22:12,1713,5.37,318.99,175.0,143.99,7,ahead,318.99441340782124,1441.0,7.9,182.40506329113924,2.5300000000000002,807.0558659217878,2520.0558659217877,ahead
VEL095,DRV054,2024-02-06,2024-02-06 07:13:48,190,1.23,154.47,179.0,-24.53,7,at_risk,154.47154471544715,1419.0,8.6,165.0,7.369999999999999,1138.4552845528453,1328.4552845528453,on_track
VEL172,DRV054,2024-02-06,2024-02-06 12:03:36,1626,6.06,268.32,188.0,80.32,12,ahead,268.31683168316835,1419.0,8.6,165.0,2.54,681.5247524752476,2307.5247524752476,ahead
VEL046,DRV054,2024-02-06,2024-02-06 12:31:48,1043,6.53,159.72,177.0,-17.28,12,on_track,159.72434915773354,1419.0,8.6,165.0,2.0699999999999994,330.62940275650834,1373.6294027565084,on_track
VEL177,DRV055,2024-02-06,2024-02-06 13:26:24,1975,7.44,265.46,169.0,96.46,9,ahead,265.4569892473118,1551.0,8.7,178.27586206896552,1.259999999999999,334.4758064516126,2309.4758064516127,ahead
VEL197,DRV055,2024-02-06,2024-02-06 13:34:12,756,7.57,99.87,182.0,-82.13,15,at_risk,99.8678996036988,1551.0,8.7,178.27586206896552,1.129999999999999,112.85072655217955,868.8507265521796,at_risk
VEL151,DRV056,2024-02-06,2024-02-06 09:45:36,182,3.76,48.4,183.0,-134.6,5,at_risk,48.40425531914894,1626.0,6.4,254.0625,2.6400000000000006,127.78723404255322,309.7872340425532,at_risk
VEL159,DRV057,2024-02-06,2024-02-06 08:33:00,307,2.55,120.39,177.0,-56.61,15,at_risk,120.39215686274511,1687.0,7.0,241.0,4.45,535.7450980392158,842.7450980392158,at_risk
VEL029,DRV057,2024-02-06,2024-02-06 08:52:12,2036,2.87,709.41,183.0,526.41,14,ahead,709.4076655052264,1687.0,7.0,241.0,4.13,2929.853658536585,4965.8536585365855,ahead
VEL160,DRV057,2024-02-06,2024-02-06 09:42:00,748,3.7,202.16,204.0,-1.84,4,on_track,202.16216216216216,1687.0,7.0,241.0,3.3,667.1351351351351,1415.135135135135,at_risk
VEL199,DRV058,2024-02-06,2024-02-06 13:55:12,1169,7.92,147.6,178.0,-30.4,9,at_risk,147.6010101010101,1129.0,7.9,142.91139240506328,0.0,0.0,1169.0,on_track
VEL064,DRV060,2024-02-06,2024-02-06 12:37:48,2427,6.63,366.06,198.0,168.06,8,ahead,366.0633484162896,1180.0,9.9,119.19191919191918,3.2700000000000005,1197.0271493212672,3624.027149321267,ahead
VEL196,DRV061,2024-02-06,2024-02-06 10:30:00,336,4.5,74.67,183.0,-108.33,1,at_risk,74.66666666666667,1199.0,7.8,153.71794871794873,3.3,246.4,582.4,at_risk
VEL219,DRV062,2024-02-06,2024-02-06 09:19:48,558,3.33,167.57,166.0,1.57,2,ahead,167.56756756756755,1731.0,7.0,247.28571428571428,3.67,614.9729729729729,1172.972972972973,at_risk
VEL168,DRV062,2024-02-06,2024-02-06 10:02:24,1318,4.04,326.24,203.0,123.24,2,ahead,326.23762376237624,1731.0,7.0,247.28571428571428,2.96,965.6633663366337,2283.6633663366338,ahead
VEL078,DRV062,2024-02-06,2024-02-06 11:28:12,555,5.47,101.46,167.0,-65.54,4,at_risk,101.46252285191956,1731.0,7.0,247.28571428571428,1.5300000000000002,155.23765996343695,710.237659963437,at_risk
VEL208,DRV064,2024-02-06,2024-02-06 08:03:00,2406,2.05,1173.66,193.0,980.66,4,ahead,1173.658536585366,1389.0,9.1,152.63736263736266,7.05,8274.292682926829,10680.292682926829,ahead
VEL084,DRV067,2024-02-06,2024-02-06 07:07:12,2018,1.12,1801.79,181.0,1620.79,11,ahead,1801.7857142857142,1680.0,9.1,184.6153846153846,7.9799999999999995,14378.249999999998,16396.25,ahead
VEL020,DRV068,2024-02-06,2024-02-06 12:33:36,1939,6.56,295.58,179.0,116.58,5,ahead,295.57926829268297,1598.0,6.5,245.84615384615384,0.0,0.0,1939.0,ahead
VEL026,DRV068,2024-02-06,2024-02-06 12:51:00,927,6.85,135.33,192.0,-56.67,6,at_risk,135.3284671532847,1598.0,6.5,245.84615384615384,0.0,0.0,927.0,at_risk
VEL194,DRV068,2024-02-06,2024-02-06 12:53:24,1392,6.89,202.03,183.0,19.03,12,ahead,202.03193033381714,1598.0,6.5,245.84615384615384,0.0,0.0,1392.0,at_risk
VEL044,DRV070,2024-02-06,2024-02-06 10:49:48,820,4.83,169.77,193.0,-23.23,12,at_risk,169.77225672877847,1192.0,6.9,172.75362318840578,2.0700000000000003,351.4285714285715,1171.4285714285716,on_track
VEL011,DRV071,2024-02-06,08:32:00,385,1.03,373.79,175.0,198.79,1,ahead,373.7864077669903,1563.0,8.1,192.96296296296296,7.069999999999999,2642.669902912621,3027.669902912621,ahead
VEL198,DRV072,2024-02-06,2024-02-06 08:31:48,694,2.53,274.31,168.0,106.31,11,ahead,274.30830039525694,1406.0,8.3,169.39759036144576,5.770000000000001,1582.758893280633,2276.758893280633,ahead
VEL090,DRV073,2024-02-06,2024-02-06 13:43:48,256,7.73,33.12,180.0,-146.88,2,at_risk,33.11772315653299,1108.0,8.4,131.9047619047619,0.6699999999999999,22.1888745148771,278.1888745148771,at_risk
VEL047,DRV077,2024-02-06,2024-02-06 09:13:12,187,3.22,58.07,201.0,-142.93,2,at_risk,58.07453416149068,1527.0,6.6,231.36363636363637,3.3799999999999994,196.29192546583846,383.29192546583846,at_risk
